CPU NAME,BENCHMARK,FREC,CORES
Intel Core i9-7980XE,28196,2.60 GHz,18
Intel Core i9-10980XE,24309,3.00 GHz,18
Intel Core i9-7960X,22189,2.80 GHz,16
Intel Core i9-10940X,21309,3.30 GHz,14
Intel Core i9-10850K,16820,3.60 GHz,10
Intel Core i9-11900KF,16211,3.50 GHz,8
Intel Core i9-11900K,16211,3.50 GHz,8
Intel Core i9-10900KF,15945,3.70 GHz,10
Intel Core i9-10900K,15945,3.70 GHz,10
Intel Core i9-7900X,14998,3.30 GHz,10
Intel Core i9-10900X,14301,3.70 GHz,10
Intel Core i9-9900KS,12704,4.00 GHz,8
Intel Core i9-9900KF,12450,3.60 GHz,8
Intel Core i9-9900K,12450,3.60 GHz,8
Intel Core i9-9900,12205,3.10 GHz,8
Intel Core i9-9980HK,8370,2.40 GHz,8
Intel Core i9-9880H,8311,2.30 GHz,8
